,id,region,price,year,manufacturer,model,condition,cylinders,fuel,odometer,title_status,transmission,drive,size,type,paint_color,county,state
222600,7192890463,rochester,27990,2014.0,chevrolet,silverado 1500 crew,good,8 cylinders,other,94202.0,clean,automatic,4wd,,pickup,,,ny
180844,7193598933,meadville,2500,2008.0,chevrolet,impala ltz,good,6 cylinders,gas,,clean,automatic,fwd,mid-size,sedan,silver,,pa
276494,7194231989,san antonio,1000,2019.0,kia,forte,like new,4 cylinders,gas,38843.0,clean,automatic,fwd,full-size,sedan,white,,tx
361489,7187620045,mcallen / edinburg,19919,2017.0,buick,encore,,4 cylinders,gas,8907.0,clean,automatic,fwd,compact,SUV,silver,,tx
334634,7192544323,tampa bay area,6995,2006.0,lexus,is 250,excellent,6 cylinders,gas,160000.0,clean,automatic,,,,grey,,fl
295715,7195043740,detroit metro,12500,2013.0,bmw,328xi,excellent,,gas,39155.0,rebuilt,automatic,fwd,,,black,,mi
193242,7194528614,greenville / upstate,4900,2004.0,honda,crv awd,excellent,4 cylinders,gas,225000.0,clean,automatic,4wd,mid-size,SUV,black,,sc
15543,7180555916,fayetteville,15000,2007.0,ford,f450,good,8 cylinders,diesel,,clean,automatic,rwd,full-size,truck,white,,nc
322708,7188787164,fayetteville,0,2017.0,infiniti,qx60,,6 cylinders,gas,30013.0,clean,automatic,4wd,,SUV,blue,,nc
55407,7187808727,rochester,0,1985.0,ford,8000,,,gas,152712.0,clean,manual,4wd,,other,,,mn
241284,7184218855,rochester,27408,2015.0,gmc,sierra 1500,excellent,8 cylinders,gas,81300.0,clean,automatic,4wd,full-size,truck,custom,,ny
232675,7185399490,williamsport,8995,2011.0,buick,lacrosse cxl awd,good,6 cylinders,gas,143175.0,clean,automatic,4wd,,,,,pa
49553,7190664789,raleigh / durham / CH,15990,2012.0,toyota,highlander sport utility,good,6 cylinders,gas,97621.0,clean,other,,,other,white,,nc
93457,7195627798,boise,20000,,,,,,,,,,,,,,,id
328471,7179296213,salt lake city,6300,2010.0,honda,accord,good,6 cylinders,gas,157700.0,lien,automatic,fwd,mid-size,sedan,black,,ut
368469,7189296617,jacksonville,8999,2013.0,ford,taurus police interceptor,,,gas,108320.0,clean,automatic,,,,,,fl
183299,7194971374,twin falls,0,2011.0,ford,f-350 super duty king ranc,,8 cylinders,diesel,86569.0,clean,automatic,4wd,,truck,,,id
269122,7194779239,maine,17995,2016.0,nissan,rogue sl suv,like new,,gas,19685.0,clean,automatic,fwd,,SUV,,,me
412574,7187832783,norfolk / hampton roads,6900,2005.0,infiniti,fx35,good,6 cylinders,gas,125000.0,lien,automatic,,,,silver,,va
351040,7192964039,harrisburg,27899,2019.0,ram,classic slt,like new,8 cylinders,gas,9500.0,clean,automatic,4wd,full-size,pickup,grey,,pa
265770,7191526909,columbia,7990,2000.0,toyota,land cruiser,good,8 cylinders,gas,252900.0,clean,automatic,4wd,full-size,SUV,white,,sc
216620,7185208733,colorado springs,3550,2004.0,hyundai,santa fe gls,good,6 cylinders,gas,189000.0,clean,automatic,4wd,mid-size,SUV,red,,co
4343,7194748716,"washington, DC",3900,2002.0,honda,civic,excellent,4 cylinders,gas,116000.0,clean,automatic,fwd,compact,sedan,brown,,dc
334265,7191388275,roanoke,9800,2008.0,jeep,wrangler,,,gas,,rebuilt,automatic,,,,,,va
290795,7181486308,lincoln,18295,2014.0,dodge,charger rt,excellent,8 cylinders,gas,41790.0,clean,automatic,rwd,mid-size,sedan,purple,,ne
404235,7180941394,treasure coast,3500,2008.0,nissan,sentra,good,4 cylinders,gas,192107.0,clean,automatic,fwd,compact,sedan,grey,,fl
98060,7193052834,lansing,2400,2005.0,ford,taurus se,,,gas,233000.0,clean,automatic,,,,,,mi
376451,7180258053,myrtle beach,33999,2016.0,ram,"2500 4wd crew cab 149"" slt",,8 cylinders,,52654.0,clean,automatic,4wd,,pickup,white,,sc
249065,7187864576,greenville / upstate,2880,2000.0,ford,explorer 4x4,good,6 cylinders,gas,197570.0,clean,automatic,fwd,mid-size,SUV,silver,,sc
421092,7185408197,northern michigan,5200,1996.0,buick,roadmaster,,,gas,,clean,automatic,,,,,,mi
373222,7196976694,imperial county,2300,,,,,,,,,,,,,,,ca
2289,7186393719,kennewick-pasco-richland,19998,2017.0,chevrolet,volt,,,gas,23383.0,clean,automatic,fwd,,,blue,,wa
289101,7193731527,orange county,45995,2017.0,ford,transit-350,,,gas,2887.0,clean,automatic,rwd,,van,white,,ca
305781,7178390832,york,21000,2003.0,chevrolet,corvette,excellent,8 cylinders,gas,,clean,automatic,rwd,,coupe,grey,,pa
162058,7185009783,wilmington,5300,1975.0,mercedes-benz,benz 230,good,4 cylinders,gas,94100.0,clean,automatic,rwd,,sedan,,,nc
148236,7179950755,worcester / central MA,37488,2012.0,ford,f-350,,,diesel,49832.0,clean,automatic,4wd,,pickup,silver,,ma
154908,7192763958,charlotte,4900,2007.0,gmc,envoy,excellent,6 cylinders,gas,180000.0,clean,automatic,rwd,full-size,SUV,white,,nc
86667,7192419957,central michigan,12995,2016.0,nissan,pathfinder,,,gas,129940.0,clean,automatic,,,,,,mi
495,7195156173,"washington, DC",0,2015.0,gmc,terrain,,4 cylinders,gas,95437.0,clean,automatic,fwd,mid-size,SUV,silver,,dc
402081,7190346662,southwest michigan,10800,2010.0,honda,cr-v,excellent,4 cylinders,gas,118918.0,clean,automatic,4wd,mid-size,SUV,grey,,mi
361972,7196458297,phoenix,0,,,,,,,,,,,,,,,az
78744,7183340247,wenatchee,38999,2018.0,ram,2500 st 4x4 3/4 ton,,,gas,15474.0,clean,automatic,4wd,,truck,white,,wa
59064,7196602470,denver,44337,,,,,,,,,,,,,,,co
13402,7194413594,sarasota-bradenton,12997,2012.0,ford,e-series cargo,,8 cylinders,,130314.0,clean,automatic,rwd,,van,white,,fl
233168,7186441645,champaign urbana,0,2017.0,nissan,rogue sport,,,gas,24187.0,clean,other,fwd,,,,,il
275470,7194240557,san antonio,10749,2018.0,ford,focus s,like new,4 cylinders,gas,27550.0,clean,automatic,fwd,mid-size,sedan,black,,tx
356989,7180645737,rochester,9200,1974.0,volkswagen,beetle,excellent,4 cylinders,gas,,clean,manual,rwd,,convertible,custom,,ny
46763,7195229913,helena,1600,,,,,,,,,,,,,,,mt
394977,7190226563,fort smith,69500,2020.0,gmc,sierra 2500hd at4,like new,8 cylinders,diesel,8398.0,clean,automatic,4wd,full-size,truck,white,,ar
226077,7192541043,reno / tahoe,0,2003.0,ford,ranger super cab,,6 cylinders,other,113951.0,clean,automatic,,,pickup,white,,ca
264339,7184973570,sioux falls / SE SD,44995,2009.0,,INTERNATIONAL MH035,,,diesel,82238.0,clean,manual,fwd,,truck,,,sd
265306,7192360665,stillwater,9500,2006.0,gmc,sierra,excellent,8 cylinders,gas,135000.0,clean,automatic,rwd,full-size,pickup,white,,ok
346097,7179537541,greenville / upstate,17950,2019.0,ford,fusion,,,gas,32767.0,clean,automatic,fwd,,,blue,,sc
112256,7196532837,rochester,21990,,,,,,,,,,,,,,,ny
48865,7196205582,greensboro,0,,,,,,,,,,,,,,,nc
218444,7181756838,tyler / east TX,27500,2015.0,gmc,sierra 1500 slt,like new,8 cylinders,gas,143182.0,clean,automatic,4wd,,pickup,white,,tx
376874,7179089274,myrtle beach,16000,2017.0,kia,soul w/bluetooth,,,other,51541.0,clean,automatic,,,,,,sc
125071,7195944357,akron / canton,21713,,,,,,,,,,,,,,,oh
340715,7190872044,kennewick-pasco-richland,62999,2019.0,gmc,sierra 1500 at4 4x4 half ton,,,gas,17958.0,clean,automatic,4wd,,truck,black,,wa
64574,7194482959,atlanta,9995,2011.0,infiniti,ex35,excellent,6 cylinders,gas,115235.0,clean,automatic,4wd,full-size,SUV,silver,,ga
335994,7178668867,new river valley,6800,2010.0,,Element EX 4 WD,good,4 cylinders,gas,227000.0,clean,automatic,4wd,,SUV,orange,,va
397723,7181883305,colorado springs,33991,2018.0,ford,f-150,,,gas,43271.0,clean,,4wd,,pickup,white,,co
28943,7196612731,sacramento,3200,,,,,,,,,,,,,,,ca
310083,7188174114,colorado springs,0,2013.0,lexus,gs 350,,,gas,37773.0,clean,automatic,,,sedan,,,co
242036,7178408670,mankato,22990,2020.0,chevrolet,impala,,,gas,,clean,automatic,,,,,,mn
8835,7179416619,knoxville,0,2015.0,ford,expedition,,6 cylinders,gas,129464.0,clean,automatic,rwd,full-size,SUV,white,,tn
324814,7194037579,st cloud,8500,2016.0,kia,soul +,excellent,4 cylinders,gas,71267.0,clean,automatic,fwd,mid-size,SUV,silver,,mn
316758,7191210577,"st louis, MO",24533,2019.0,chrysler,300,,,gas,34457.0,clean,automatic,rwd,,,white,,il
419116,7193962153,hartford,32995,2015.0,ford,f-150,,,other,101146.0,clean,automatic,4wd,,pickup,white,,ct
43847,7196461075,SF bay area,9950,,,,,,,,,,,,,,,ca
252979,7179702023,jersey shore,31495,2017.0,lincoln,continental,,,gas,26149.0,clean,automatic,,,,,,nj
352445,7193983928,bozeman,0,2015.0,dodge,intern,,,diesel,0.0,clean,other,,,other,white,,mt
285005,7186895258,anchorage / mat-su,15500,2018.0,nissan,rogue,excellent,4 cylinders,gas,23436.0,rebuilt,automatic,4wd,mid-size,SUV,grey,,ak
205477,7194541059,knoxville,13989,2011.0,audi,q5,,6 cylinders,gas,102286.0,clean,automatic,,,SUV,custom,,tn
196261,7194279183,buffalo,8900,1985.0,chevrolet,monte carlo ss,good,8 cylinders,gas,80000.0,clean,automatic,rwd,full-size,sedan,black,,ny
265028,7192494212,oklahoma city,26900,2019.0,honda,odyssey,,,gas,12945.0,clean,automatic,fwd,,mini-van,blue,,ok
382891,7193279629,boise,17988,2012.0,ford,explorer,,,gas,84143.0,clean,automatic,4wd,,SUV,,,id
64212,7194510345,atlanta,10400,2012.0,ford,edge limited,excellent,6 cylinders,gas,122000.0,clean,automatic,fwd,full-size,SUV,black,,ga
201397,7181480398,southeast IA,1500,2000.0,bmw,328ci,,6 cylinders,gas,191000.0,clean,automatic,,,,blue,,ia
38707,7196245056,rochester,12950,,,,,,,,,,,,,,,mn
56646,7196744399,colorado springs,10999,,,,,,,,,,,,,,,co
172012,7194391372,spokane / coeur d'alene,25500,2015.0,audi,a6 a4 a8 s4 s6 s7 q3 q5,excellent,6 cylinders,gas,56540.0,clean,automatic,4wd,,sedan,grey,,id
25311,7190301610,bozeman,1200,1997.0,saturn,s series sl1,,4 cylinders,gas,212847.0,clean,manual,fwd,,sedan,,,mt
75868,7187128768,oregon coast,10995,2010.0,mazda,cx-9,,,gas,123046.0,clean,automatic,4wd,,SUV,,,or
32504,7181069669,greensboro,7090,2012.0,chrysler,,,,gas,148750.0,clean,automatic,,,,,,nc
91000,7194824978,cleveland,2995,2007.0,kia,sedona,,6 cylinders,gas,208000.0,clean,automatic,fwd,,,red,,oh
1726,7184867894,bellingham,2750,2002.0,honda,civic ex,good,,gas,,clean,automatic,,compact,sedan,white,,wa
2274,7195034912,"washington, DC",1800,2003.0,cadillac,seville,good,8 cylinders,gas,166352.0,clean,automatic,fwd,compact,sedan,silver,,dc
102587,7196989579,la salle co,16500,,,,,,,,,,,,,,,il
136748,7195627975,bend,39376,,,,,,,,,,,,,,,or
349412,7180006117,dubuque,2495,2001.0,chrysler,pt cruiser,good,6 cylinders,gas,93000.0,clean,manual,fwd,mid-size,other,blue,,ia
218016,7180762690,hartford,9995,2013.0,audi,a4 2.0t premium plus,excellent,4 cylinders,gas,168372.0,clean,automatic,4wd,mid-size,sedan,blue,,ct
232360,7183118389,scranton / wilkes-barre,3350,2000.0,jeep,grand cherokee limited 4x4,,8 cylinders,gas,148000.0,clean,automatic,4wd,,SUV,,,pa
191941,7186757576,lewiston / clarkston,29999,2018.0,subaru,crosstrek limited awd,,,gas,37550.0,clean,automatic,4wd,,hatchback,blue,,id
40255,7196901606,SF bay area,1500,,,,,,,,,,,,,,,ca
175904,7196943560,seattle-tacoma,0,,,,,,,,,,,,,,,wa
272504,7186490700,delaware,13500,1999.0,ford,f450,excellent,8 cylinders,diesel,291000.0,clean,manual,rwd,,truck,black,,de
264958,7192608429,oklahoma city,14990,2008.0,ford,econoline commercial cutaway,good,8 cylinders,gas,109026.0,clean,automatic,rwd,full-size,truck,white,,ok
68037,7196419257,"washington, DC",3200,,,,,,,,,,,,,,,dc
217422,7194531493,"st louis, MO",12995,2014.0,buick,enclave,like new,6 cylinders,gas,130642.0,clean,automatic,fwd,mid-size,SUV,silver,,il
421530,7193714979,north jersey,75000,1971.0,,Porsche 911,like new,6 cylinders,gas,100602.0,clean,manual,rwd,mid-size,convertible,orange,,nj
94725,7181919582,greenville / upstate,19995,2005.0,jeep,wrangler,good,6 cylinders,gas,90824.0,clean,automatic,4wd,full-size,SUV,custom,,sc
407359,7183441107,flint,33995,2015.0,gmc,sierra 3500hd,,,diesel,142472.0,clean,automatic,,,,,,mi
88871,7190363457,central NJ,19995,2017.0,nissan,maxima,,,gas,21799.0,clean,automatic,,,,,,nj
56030,7196861804,north jersey,10200,,,,,,,,,,,,,,,nj
349459,7191388804,baton rouge,13200,2015.0,acura,tlx,excellent,6 cylinders,gas,100107.0,clean,automatic,fwd,mid-size,sedan,white,,la
22001,7196004417,modesto,473,,,,,,,,,,,,,,,ca
224045,7188927400,reno / tahoe,28998,2013.0,bmw,m5,,,gas,81107.0,clean,automatic,,,sedan,silver,,ca
365587,7184935229,tulsa,0,2018.0,chevrolet,silverado 1500 lt lt1,excellent,,gas,61236.0,clean,automatic,4wd,,truck,,,ok
243569,7194827427,"kansas city, MO",5500,2006.0,ford,explorer,,,gas,191353.0,clean,automatic,,,other,,,ks
184131,7193567084,twin falls,39888,2019.0,gmc,sierra 3500hd,good,,other,21878.0,clean,other,,,pickup,white,,id
55563,7194973490,new hampshire,9995,2010.0,toyota,prius hybrid,excellent,4 cylinders,hybrid,137000.0,clean,automatic,fwd,,sedan,blue,,nh
401580,7190260515,fresno / madera,24999,2007.0,chevrolet,tahoe,excellent,8 cylinders,gas,56000.0,clean,automatic,4wd,,SUV,black,,ca
140918,7196712339,portland,5895,,,,,,,,,,,,,,,or
113804,7194898010,youngstown,6995,2010.0,honda,cr-v,,4 cylinders,gas,155766.0,clean,automatic,4wd,,SUV,,,oh
21464,7192136320,mobile,3000,1992.0,mitsubishi,3000gt sl,good,6 cylinders,gas,126560.0,clean,automatic,rwd,compact,coupe,white,,al
264954,7185175494,south dakota,36500,1969.0,chevrolet,camaro,,,gas,,clean,manual,,,,blue,,sd
211554,7183099420,ventura county,10495,2011.0,honda,cr-v se,excellent,4 cylinders,gas,,clean,automatic,fwd,compact,SUV,red,,ca
